o,d,cargo_type,share,base_cost,base_modes,line_haul,base_road,base_rail,base_water,base_sea,same_found,same_cost,same_switch,same_pen,same_road,same_rail,same_water,same_sea,same_modes,free_found,free_cost,free_switch,free_pen,free_road,free_rail,free_water,free_sea,free_modes,chosen,rel,pen,delivered_score,outcome
6142,2311,dry_bulk,0.2,42.44438355721604,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,92.54060835346725,0.0,828.3719812784883,3855.776445899726,True,72.68117999296024,True,1000.0,180.87341386272018,0.0,743.0983206243022,3855.776445899726,maritime+multimodal+waterways+multimodal+roads+multimodal+waterways+multimodal+roads,True,42.770634999051005,True,1000.0,343.9338393589638,0.0,292.9203279624922,2891.7307592985644,maritime+multimodal+waterways+multimodal+roads,free,0.007686563321037898,1000.0,200.00153731266423,gives_up
6142,2335,dry_bulk,0.2,40.464024306218796,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,53.962181385988394,0.0,828.3719812784883,3855.776445899726,True,70.700820741963,True,1000.0,142.29498689524135,0.0,743.0983206243022,3855.776445899726,maritime+multimodal+waterways+multimodal+roads+multimodal+waterways+multimodal+roads,True,42.686603488933414,True,1000.0,53.962181385988394,450.9231724310966,0.0,3269.64156925428,maritime+multimodal+railways+multimodal+roads,free,0.05492728963127469,1000.0,200.01098545792627,gives_up
6142,2347,dry_bulk,0.2,42.053005930145204,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,84.91636886507443,0.0,828.3719812784883,3855.776445899726,True,72.28980236588941,True,1000.0,173.24917437432737,0.0,743.0983206243022,3855.776445899726,maritime+multimodal+waterways+multimodal+roads+multimodal+waterways+multimodal+roads,True,42.2556232916262,True,1000.0,407.3311135143182,0.0,0.0,3269.64156925428,maritime+multimodal+roads,free,0.004818142175557316,1000.0,200.0009636284351,gives_up
6142,699,dry_bulk,0.2,34.59349203068275,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,0.10106237396258157,0.0,638.2426513033652,3855.776445899726,True,55.10834206036566,True,1000.0,88.43386788321553,0.0,552.9689906491791,3855.776445899726,maritime+multimodal+waterways+multimodal+roads+multimodal+waterways+multimodal+roads,True,42.77052261887696,True,1000.0,196.95016723288487,0.0,392.02141946212976,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,free,0.23637482393918452,1000.0,200.04727496478785,gives_up
6142,1728,dry_bulk,0.2,37.071991709085246,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,91.96647030167068,0.0,505.4691755901738,3855.776445899726,True,41.27984784959642,False,0.0,71.47830316241235,0.0,671.0390853756073,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,True,39.060022653604165,True,1000.0,248.89464144643105,0.0,146.55284653789425,3833.4742636248043,maritime+multimodal+waterways+multimodal+roads,same,0.11350499248951751,0.0,0.022700998497903503,delivers_same
6142,1553,dry_bulk,0.2,33.26479703703738,maritime+multimodal+waterways+multimodal,maritime+waterways,0.0,0.0,559.867863796448,3855.776445899726,False,,,,,,,,,True,39.112365562925916,True,1000.0,125.68736744163073,0.0,392.02141946212976,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,free,0.17578849254296625,1000.0,200.0351576985086,gives_up
6142,1552,dry_bulk,0.2,33.66877642629205,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,25.670068688816244,0.0,505.4691755901738,3855.776445899726,True,37.977357888846925,True,1000.0,89.09252756705003,0.0,414.51666729651896,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,True,37.921945259938255,True,1000.0,102.49736153927371,0.0,392.02141946212976,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,free,0.12632383130872826,1000.0,200.02526476626176,gives_up
6142,1272,dry_bulk,0.2,33.732841299478444,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,9.117745372228498,0.0,559.867863796448,3855.776445899726,True,52.85602491917123,True,1000.0,97.00245225945577,0.0,479.6439210633676,3855.776445899726,maritime+multimodal+waterways+multimodal+roads+multimodal+waterways+multimodal+roads,True,39.58040982536698,True,1000.0,134.80511281385924,0.0,392.02141946212976,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,free,0.1733494215317981,1000.0,200.03466988430637,gives_up
6142,281,dry_bulk,0.2,33.76614437022754,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,1.8419286483586,0.0,582.3661235509134,3855.776445899726,True,52.763047087165894,True,1000.0,90.17473415761155,0.0,497.09246289672734,3855.776445899726,maritime+multimodal+waterways+multimodal+roads+multimodal+waterways+multimodal+roads,True,40.17250241310863,True,1000.0,146.33938400363166,0.0,392.02141946212976,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,free,0.18972725972615745,1000.0,200.03794545194523,gives_up
6142,891,dry_bulk,0.2,32.508728269818995,maritime+multimodal+waterways+multimodal+roads,maritime+waterways,3.0717279783022433,0.0,505.4691755901738,3855.776445899726,True,51.50563098675734,True,1000.0,91.4045334875552,0.0,420.1955149359879,3855.776445899726,maritime+multimodal+waterways+multimodal+roads+multimodal+waterways+multimodal+roads,True,38.204757410966785,True,1000.0,108.00668915671247,0.0,392.02141946212976,3855.776445899726,maritime+multimodal+waterways+multimodal+roads,free,0.17521537889367278,1000.0,200.03504307577873,gives_up
