seller_id,buyer_id,o,d,cargo_type,outcome,chosen,rel,base_road,line_haul
AFR,1304,6142,2311,dry_bulk,gives_up,free,0.007686563321037898,92.54060835346725,maritime+waterways
AFR,1305,6142,2335,dry_bulk,gives_up,free,0.05492728963127469,53.962181385988394,maritime+waterways
AFR,1306,6142,2347,dry_bulk,gives_up,free,0.004818142175557316,84.91636886507443,maritime+waterways
AFR,1318,6142,2311,dry_bulk,gives_up,free,0.007686563321037898,92.54060835346725,maritime+waterways
AFR,1319,6142,2335,dry_bulk,gives_up,free,0.05492728963127469,53.962181385988394,maritime+waterways
AFR,1320,6142,2347,dry_bulk,gives_up,free,0.004818142175557316,84.91636886507443,maritime+waterways
AFR,1356,6142,2311,dry_bulk,gives_up,free,0.007686563321037898,92.54060835346725,maritime+waterways
AFR,1357,6142,2335,dry_bulk,gives_up,free,0.05492728963127469,53.962181385988394,maritime+waterways
AFR,1358,6142,2347,dry_bulk,gives_up,free,0.004818142175557316,84.91636886507443,maritime+waterways
AFR,1363,6142,2311,dry_bulk,gives_up,free,0.007686563321037898,92.54060835346725,maritime+waterways
AFR,1364,6142,2335,dry_bulk,gives_up,free,0.05492728963127469,53.962181385988394,maritime+waterways
AFR,1365,6142,2347,dry_bulk,gives_up,free,0.004818142175557316,84.91636886507443,maritime+waterways
AFR,1426,6142,2335,dry_bulk,gives_up,free,0.05492728963127469,53.962181385988394,maritime+waterways
AFR,1427,6142,2347,dry_bulk,gives_up,free,0.004818142175557316,84.91636886507443,maritime+waterways
AFR,2121,6142,699,dry_bulk,gives_up,free,0.23637482393918452,0.10106237396258157,maritime+waterways
AFR,2124,6142,1728,dry_bulk,delivers_same,same,0.11350499248951751,91.96647030167068,maritime+waterways
AFR,2126,6142,1553,dry_bulk,gives_up,free,0.17578849254296625,0.0,maritime+waterways
AFR,2127,6142,1552,dry_bulk,gives_up,free,0.12632383130872826,25.670068688816244,maritime+waterways
AFR,2128,6142,1272,dry_bulk,gives_up,free,0.1733494215317981,9.117745372228498,maritime+waterways
AFR,2129,6142,1552,dry_bulk,gives_up,free,0.12632383130872826,25.670068688816244,maritime+waterways
AFR,2130,6142,699,dry_bulk,gives_up,free,0.23637482393918452,0.10106237396258157,maritime+waterways
AFR,2132,6142,1728,dry_bulk,delivers_same,same,0.11350499248951751,91.96647030167068,maritime+waterways
AFR,2133,6142,699,dry_bulk,gives_up,free,0.23637482393918452,0.10106237396258157,maritime+waterways
AFR,2134,6142,281,dry_bulk,gives_up,free,0.18972725972615745,1.8419286483586,maritime+waterways
AFR,2135,6142,891,dry_bulk,gives_up,free,0.17521537889367278,3.0717279783022433,maritime+waterways
AFR,2204,6142,930,dry_bulk,gives_up,free,0.1855230441568254,23.59886555092788,maritime+waterways
AFR,2205,6142,671,dry_bulk,gives_up,free,0.22208762443339114,0.0,maritime+waterways
AFR,2206,6142,672,dry_bulk,gives_up,free,0.15177573166139657,62.967290765500785,maritime+waterways
AFR,2207,6142,929,dry_bulk,gives_up,free,0.18298864169248863,40.080098218642256,maritime+waterways
AFR,2210,6142,1322,dry_bulk,gives_up,free,0.2618855882123323,0.0,maritime+waterways
AFR,2211,6142,928,dry_bulk,gives_up,free,0.25910541895798556,7.368734645267233,maritime+waterways
AFR,2212,6142,1269,dry_bulk,gives_up,free,0.2286847859088259,85.28259871900035,maritime+waterways
AFR,2213,6142,1109,dry_bulk,gives_up,free,0.20298193675904175,24.289232740958152,maritime+waterways
AFR,2214,6142,673,dry_bulk,gives_up,free,0.1496044645762109,74.30462955338919,maritime+waterways
AFR,2215,6142,1269,dry_bulk,gives_up,free,0.2286847859088259,85.28259871900035,maritime+waterways
AFR,2217,6142,2038,dry_bulk,gives_up,free,0.17379276749751482,49.29726616677415,maritime+waterways
AFR,2218,6142,2038,dry_bulk,gives_up,free,0.17379276749751482,49.29726616677415,maritime+waterways
AFR,2219,6142,2067,dry_bulk,gives_up,free,0.17837637418169328,39.44127812963945,maritime+waterways
AFR,2220,6142,285,dry_bulk,gives_up,free,0.2091089741710488,16.05814531736965,maritime+waterways
AFR,2222,6142,1322,dry_bulk,gives_up,free,0.2618855882123323,0.0,maritime+waterways
