# downloaded 2026-09-10 09:45 CEST from https://vorhersage.bafg.de/14-Tage-Vorhersage/Kaub_Quantile_25700100.csv
# Probabilistische Wasserstandsvorhersage vom 2026-09-09 GMT+1
# Quelle: Bundesanstalt fuer Gewaesserkunde <vorhersage@bafg.de>
# Vorhersagetage 1 - 14 Tagesmittelwerte
# Keine Veroeffentlichung von Werten > 640 cm (Wert '---')
# !!!! Zeitstempel Beginn des Zeitschritts !!!!
Kaub 
Datum;5%;10%;20%;25%;30%;40%;50%;60%;70%;75%;80%;90%;95%
09.09.2026 00:00;24;24;24;24;24;25;25;25;25;25;25;26;26
10.09.2026 00:00;19;19;20;20;20;21;21;22;22;23;23;24;24
11.09.2026 00:00;25;26;27;28;28;29;30;31;31;32;32;34;35
12.09.2026 00:00;35;37;39;40;40;42;43;44;46;47;47;50;52
13.09.2026 00:00;41;43;46;47;48;50;52;54;56;57;58;61;64
14.09.2026 00:00;42;44;48;49;50;52;54;56;59;60;61;65;68
15.09.2026 00:00;38;41;44;45;47;49;51;53;56;57;58;63;66
16.09.2026 00:00;32;35;38;39;41;43;45;47;49;51;52;56;59
17.09.2026 00:00;27;29;32;34;35;37;39;41;43;44;45;49;52
18.09.2026 00:00;22;25;28;29;30;32;34;36;38;39;40;44;47
19.09.2026 00:00;18;21;25;26;27;29;32;34;36;38;39;43;47
20.09.2026 00:00;14;18;22;24;25;28;31;34;37;39;41;46;51
21.09.2026 00:00;11;15;20;21;23;26;29;33;36;38;41;47;52
22.09.2026 00:00;10;14;19;21;22;26;29;32;36;38;41;47;53
